Id;Numero;Bloc;Sp;mod;gf;NemPerGSoil;Anguinidae-Ditylenchus;Aphelenchidae;Aphelenchoididae;Aporcelaimidae;Cephalobidae;Dorylaimidae;Hoplolaimidae;Leptonchidae;Meloidogynidae;Monhysteridae;Mononchidae;Panagrolaimidae;Paratylenchidae;Plectidae;Pratylenchidae;Prismatolaimidae;Qudsianematidae;Rhabditidae;Telotylenchidae;Teratocephalidae;Tylenchidae
18C;18;C;A.o.;P+L;Grass;15,557578182409417;0,0000;0,0210;0,0420;0,0000;0,8960;0,0000;0,000;0,000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0100;0,0000;0,0000;0,0000;0,0210;0,0000;0,0000;0,0100
19C;19;C;D.g.;P+L;Grass;3,292639683906590;0,0000;0,0930;0,0650;0,0000;0,6760;0,0000;0,000;0,000;0,0000;0,0280;0,0000;0,0090;0,0370;0,0000;0,0000;0,0000;0,0000;0,0370;0,0000;0,0000;0,0560
20C;20;C;H.l.;P+L;Grass;9,398815872868649;0,0000;0,0200;0,0100;0,0000;0,8380;0,0000;0,000;0,020;0,0000;0,0000;0,0000;0,0000;0,0300;0,0200;0,0100;0,0100;0,0000;0,0200;0,0000;0,0000;0,0200
21C;21;C;G.v.;P+L;Forb;2,867967818382164;0,0000;0,0190;0,1750;0,0000;0,6700;0,0000;0,000;0,000;0,0000;0,0100;0,0000;0,0390;0,0190;0,0190;0,0000;0,0000;0,0100;0,0000;0,0100;0,0000;0,0290
23C;23;C;P.l.;P+L;Forb;8,296389217545009;0,0000;0,0190;0,0000;0,0000;0,2640;0,0000;0,000;0,000;0,0000;0,0000;0,0000;0,0190;0,0000;0,0000;0,0000;0,0090;0,0000;0,6600;0,0000;0,0000;0,0280
24C;24;C;C.n.;P+L;Forb;8,821955507988685;0,0000;0,0330;0,0110;0,0000;0,8560;0,0000;0,000;0,000;0,0000;0,0220;0,0000;0,0000;0,0220;0,0220;0,0220;0,0000;0,0000;0,0000;0,0000;0,0000;0,0110
25C;25;C;R.a.;P+L;Forb;3,969979659114821;0,0000;0,0660;0,0110;0,0110;0,7690;0,0000;0,000;0,000;0,0000;0,0660;0,0000;0,0000;0,0000;0,0330;0,0000;0,0000;0,0220;0,0000;0,0000;0,0000;0,0220
26C;26;C;M.a.;P+L;Legumes;4,469192941857101;0,0000;0,0530;0,0000;0,0110;0,8300;0,0000;0,000;0,000;0,0110;0,0110;0,0000;0,0110;0,0110;0,0000;0,0110;0,0000;0,0000;0,0000;0,0000;0,0000;0,0530
27C;27;C;T.p.;P+L;Legumes;3,674665843840727;0,0000;0,0650;0,0000;0,0000;0,8260;0,0000;0,000;0,000;0,0220;0,0000;0,0000;0,0000;0,0000;0,0000;0,0220;0,0110;0,0000;0,0000;0,0000;0,0000;0,0540
28C;28;C;L.c.;P+L;Legumes;6,897027381198703;0,0000;0,0090;0,0180;0,0000;0,6550;0,0000;0,000;0,000;0,0000;0,0350;0,0000;0,1770;0,0180;0,0440;0,0180;0,0000;0,0000;0,0000;0,0000;0,0000;0,0270
29C;29;C;M.s.;P+L;Legumes;6,249494050028333;0,0000;0,1340;0,0210;0,0000;0,7420;0,0000;0,000;0,000;0,0000;0,0100;0,0000;0,0410;0,0000;0,0100;0,0000;0,0000;0,0000;0,0000;0,0100;0,0000;0,0310
30C;30;C;T.r.;P+L;Legumes;10,383002131609709;0,0000;0,0190;0,0090;0,0000;0,5650;0,0000;0,009;0,000;0,2690;0,0000;0,0000;0,0000;0,0000;0,0000;0,0460;0,0000;0,0000;0,0560;0,0000;0,0090;0,0190
32C;32;C;F.o.;L;Grass;4,447610278149376;0,0000;0,0375;0,0125;0,0000;0,8000;0,0125;0,000;0,000;0,0000;0,0375;0,0000;0,0000;0,0000;0,0375;0,0000;0,0000;0,0000;0,0250;0,0000;0,0000;0,0375
33C;33;C;A.o.;L;Grass;8,633841304967394;0,0000;0,0000;0,0250;0,0000;0,7500;0,0250;0,000;0,000;0,0000;0,0750;0,0000;0,0375;0,0000;0,0125;0,0000;0,0000;0,0125;0,0125;0,0000;0,0000;0,0500
34C;34;C;D.g.;L;Grass;5,598444221816253;0,0000;0,0125;0,0250;0,0000;0,6750;0,0125;0,000;0,000;0,0000;0,0375;0,0125;0,0250;0,0000;0,0500;0,0125;0,0000;0,0000;0,0625;0,0000;0,0125;0,0625
35C;35;C;H.l.;L;Grass;2,571350414881007;0,0000;0,0000;0,0200;0,0000;0,6600;0,0000;0,000;0,000;0,0000;0,0800;0,0000;0,0000;0,0200;0,0600;0,0000;0,0000;0,0000;0,1200;0,0000;0,0000;0,0400
36C;36;C;G.v.;L;Forb;4,817936078867865;0,0000;0,0375;0,0125;0,0000;0,7375;0,0000;0,000;0,000;0,0000;0,0500;0,0000;0,0000;0,0000;0,0750;0,0000;0,0125;0,0000;0,0500;0,0000;0,0000;0,0250
38C;38;C;P.l.;L;Forb;1,478136573322071;0,0000;0,0500;0,0000;0,0000;0,7500;0,0000;0,000;0,000;0,0000;0,0500;0,0000;0,0000;0,0000;0,0500;0,0000;0,0000;0,0000;0,0500;0,0000;0,0000;0,0500
39C;39;C;C.n.;L;Forb;17,714484195901353;0,0000;0,0000;0,0125;0,0000;0,8375;0,0125;0,000;0,000;0,0000;0,0375;0,0000;0,0000;0,0000;0,0250;0,0125;0,0125;0,0000;0,0375;0,0000;0,0000;0,0125
40C;40;C;R.a.;L;Forb;5,746471536245096;0,0000;0,0250;0,0125;0,0000;0,7750;0,0500;0,000;0,000;0,0000;0,0500;0,0000;0,0000;0,0000;0,0500;0,0000;0,0000;0,0000;0,0125;0,0000;0,0000;0,0125
41C;41;C;M.a.;L;Legumes;5,001302247478331;0,0000;0,0370;0,0000;0,0000;0,6810;0,0000;0,000;0,000;0,0000;0,0670;0,0000;0,0000;0,0070;0,0740;0,0070;0,0150;0,0070;0,0740;0,0000;0,0070;0,0220
41C;41;C;M.a.;L;Legumes;5,001302247478331;0,0000;0,0370;0,0000;0,0000;0,6810;0,0000;0,000;0,000;0,0000;0,0670;0,0000;0,0000;0,0070;0,0740;0,0070;0,0150;0,0070;0,0740;0,0000;0,0070;0,0220
42C;42;C;T.p.;L;Legumes;9,909466819680492;0,0000;0,0250;0,0000;0,0000;0,7375;0,0250;0,000;0,000;0,0000;0,0500;0,0000;0,0000;0,0000;0,1000;0,0000;0,0125;0,0000;0,0375;0,0000;0,0125;0,0000
43C;43;C;L.c.;L;Legumes;3,069417623742250;0,0000;0,0000;0,0250;0,0000;0,8000;0,0000;0,000;0,000;0,0000;0,0500;0,0000;0,0000;0,0000;0,0250;0,0000;0,0250;0,0000;0,0250;0,0000;0,0000;0,0500
44C;44;C;M.s.;L;Legumes;6,793073865924331;0,0000;0,0250;0,0125;0,0000;0,7500;0,0125;0,000;0,000;0,0000;0,0500;0,0000;0,0000;0,0125;0,0500;0,0000;0,0000;0,0000;0,0750;0,0000;0,0000;0,0125
45C;45;C;T.r.;L;Legumes;17,244940793489743;0,0000;0,0125;0,0125;0,0000;0,8375;0,0000;0,000;0,000;0,0000;0,0125;0,0000;0,0000;0,0000;0,1000;0,0000;0,0000;0,0000;0,0250;0,0000;0,0000;0,0000
46C;46;C; ;T;Temoins;4,227471802763076;0,0000;0,0000;0,0125;0,0000;0,8750;0,0250;0,000;0,000;0,0000;0,0250;0,0000;0,0000;0,0000;0,0375;0,0000;0,0250;0,0000;0,0000;0,0000;0,0000;0,0000
47C;47;C; ;T;Temoins;15,494455415464074;0,0000;0,0000;0,0375;0,0000;0,8250;0,0250;0,000;0,000;0,0000;0,0250;0,0000;0,0125;0,0000;0,0750;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000
