Numero,Bloc,mod,gf,Sp,N_tot_ep,N_tot_hem,N_tot_gam,NbJuv_Ep,NbJuv_Hem,PerJuv_Ep,PerJuv_Hem,Lcya.Ad,Lcya.Juv,Dorn.Ad,Dorn.Juv,Bhor.Ad,Bhor.Juv,Isp.Ad,Isp.Juv,Sele.Ad,Sele.Juv,Eniv.Ad,Eniv.Juv,Svir.Ad,Svir.Juv,Afus.Ad,Afus.Juv
29,C,P+L,Legumes,M.s.,3055.7749073643904,2546.479089470325,2037.1832715762603,1527.8874536821952,NA,381.9718634205488,NA,1527.8874536821952,1527.8874536821952,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,C,P+L,Legumes,T.r.,1527.8874536821952,19353.241079974472,3055.7749073643904,1527.8874536821952,NA,509.29581789406507,NA,NA,1527.8874536821952,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,C,L,Grass,F.o.,0,5092.95817894065,509.29581789406507,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,C,L,Grass,A.o.,1527.8874536821952,509.29581789406507,1527.8874536821952,1018.5916357881301,NA,254.64790894703253,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,509.29581789406507,1018.5916357881301,NA,NA,NA,NA
34,C,L,Grass,D.g.,509.29581789406507,22409.015987338862,0,509.29581789406507,NA,509.29581789406507,NA,NA,509.29581789406507,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,C,L,Grass,H.l.,2037.1832715762603,23427.60762312699,0,1018.5916357881301,NA,254.64790894703253,NA,1018.5916357881301,1018.5916357881301,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,C,L,Forb,G.v.,2546.479089470325,3055.7749073643904,1018.5916357881301,1527.8874536821952,NA,305.577490736439,NA,509.29581789406507,1527.8874536821952,NA,NA,NA,NA,NA,NA,NA,NA,509.29581789406507,NA,NA,NA,NA,NA
38,C,L,Forb,P.l.,0,1018.5916357881301,509.29581789406507,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,C,L,Forb,C.n.,0,0,509.29581789406507,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,C,L,Forb,R.a.,509.29581789406507,3565.0707252584552,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,C,L,Legumes,M.a.,0,5092.95817894065,509.29581789406507,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,C,L,Legumes,T.p.,1018.5916357881301,26483.38253049138,4074.3665431525205,509.29581789406507,NA,254.64790894703253,NA,509.29581789406507,509.29581789406507,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43,C,L,Legumes,L.c.,2546.479089470325,3565.0707252584552,1018.5916357881301,1527.8874536821952,NA,305.577490736439,NA,1018.5916357881301,1527.8874536821952,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,C,L,Legumes,M.s.,1018.5916357881301,1018.5916357881301,1018.5916357881301,509.29581789406507,NA,254.64790894703253,NA,509.29581789406507,509.29581789406507,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45,C,L,Legumes,T.r.,0,18334.649444186343,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,C,T,Temoins, ,0,4583.662361046586,509.29581789406507,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47,C,T,Temoins, ,2037.1832715762603,0,1018.5916357881301,1018.5916357881301,NA,254.64790894703253,NA,NA,1018.5916357881301,NA,NA,1018.5916357881301,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
